timestamp,date,latitude,longitude,regime,sub_regime,source,source_event_id,label_method,label_confidence,label_status
2021-06-01 00:00:00+00:00,2021-06-01,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-02 00:00:00+00:00,2021-06-02,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-03 00:00:00+00:00,2021-06-03,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-04 00:00:00+00:00,2021-06-04,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-05 00:00:00+00:00,2021-06-05,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-06 00:00:00+00:00,2021-06-06,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-07 00:00:00+00:00,2021-06-07,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-08 00:00:00+00:00,2021-06-08,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-09 00:00:00+00:00,2021-06-09,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-10 00:00:00+00:00,2021-06-10,18.451027,73.828125,OTHER,NORMAL_MONSOON,Climatological Summer Monsoon Baseline,SEASONAL_BASELINE,BACKGROUND_MONSOON_CIRCULATION,0.9,SCIENTIFIC_SOURCE
2021-06-11 00:00:00+00:00,2021-06-11,18.451027,73.828125,COASTAL_OROGRAPHIC,WESTERN_GHATS_OROGRAPHIC,Francis & Gadgil 2006 / Houze et al. 2007,OROGRAPHIC_WG_ONSHORE_JET,WESTERN_GHATS_ONSHORE_JET_CRITERIA,0.85,SCIENTIFIC_SOURCE
